page,category,matched,similarity,cer,wer,accuracy,gpt_confidence,ref_question,ocr_question,question_type,is_table_item,ocr_only
1,,True,0.8010570824524312,0.10416666666666667,0.3333333333333333,0.4375,,a. 연구대상자동의서를 받기 이전에는 본 연구의 어떠한 절차도 시작되어서는 안 된다 .,a. 연구대상자동의서를 받기 이전에는 연구의 어떠한 절차도 시작되어서는 된다.,text_input,False,False
1,,True,0.7925289855072464,0.09523809523809523,0.4,0.3968253968253968,,b. Previous medication 은 동의서 취득 전 1 개월 이내에 사용한 약물만을 조사하여 기록한다 .,b. Previous medication은 동의서 취득 개월 이내에 사용한 약물만을 조사하여 기록한다.,text_input,False,False
1,,True,0.8458846153846152,0.08620689655172414,0.4,0.1896551724137931,,c. 이상반응은 첫 시험관련 절차 ( 즉 연구대상자동의서 서명일 ) 이후부터 마지막 평가일 까지 조사한다,c. 이상반응은 시험관련 절차(즉 연구대상자동의서 서명일) 이후부터 마지막 평가일 까지 조사한다,text_input,False,False
2,,True,0.8055405405405406,0.13636363636363635,0.375,0.22727272727272727,,"1. 19 세 이상 성인 Yes , No",1. 19세 이상 성인 Yes No,text_input,True,False
2,,True,0.7609565217391304,0.21951219512195122,0.375,0.7804878048780488,,"2. Cerebrovascular disease 진단 여부 Yes , No",2. Cerebrovascular disease 진단 여부,text_input,True,False
2,가족력,True,0.8230140845070424,0.21428571428571427,0.375,0.7857142857142857,,"3. Cerebrovascular disease 가족력 여부 Yes , No",3. Cerebrovascular disease 가족력 여부,text_input,True,False
2,,True,0.8634999999999999,0.18181818181818182,0.25,0.6363636363636364,0.9,"5. Yes , No",5. Yes No,text_input,True,False
2,,True,0.8634999999999999,0.0,0.0,1.0,,"1. 정신질환의 병력 Yes , No","1. 정신질환의 병력 Yes , No",text_input,True,False
2,,True,0.6430402298850574,0.42857142857142855,0.42857142857142855,0.5714285714285714,,"2. 두부 외상의 병력 Yes , No",2. 두부 외상의 병력,text_input,True,False
2,,True,0.5675,0.5294117647058824,0.5,0.47058823529411764,0.7,"3. 암의 병력 Yes , No",3. 암의 병력,text_input,True,False
2,,True,0.8634999999999999,0.0,0.0,1.0,,"5. Yes , No","5. Yes , No",text_input,False,False
3,인구학적특성,True,0.9339999999999999,0.0,0.0,1.0,,1. 일반인구학적 특성,1. 일반인구학적 특성,text_input,False,False
3,,True,0.7681999999999999,0.13333333333333333,0.8,0.4666666666666667,1.0,1) 성별 : 1남성 2여성,1) 성별: 1남성 2 여성,text_input,False,False
3,,False,0.0,,,,,2) 생년월일 : <BLANK> | / <BLANK> | / <BLANK> | yy/mm/dd,,text_input,False,False
3,,True,0.8634999999999999,0.1,0.5,0.5,,3) 체중 : cm,3) 체중: cm,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,,4) 흡연 여부,4) 흡연 여부,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,,5) 음주 여부,5) 음주 여부,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,1.0,6) 결혼 상태,6) 결혼 상태,text_input,False,False
3,,False,0.0,,,,,,2) 생년월일: LL /LL yy/mm/dd,,False,True
4,,True,0.8739999999999999,0.0,0.0,1.0,,7) 월 평균 수입,7) 월 평균 수입,text_input,False,False
4,,True,0.8634999999999999,0.0,0.0,1.0,,8) 학력,8) 학력,text_input,False,False
5,질병력,True,0.9235,0.0,0.0,1.0,,2. 질병력,2. 질병력,text_input,True,False
