page,category,matched,similarity,cer,wer,accuracy,gpt_confidence,ref_question,ocr_question,question_type,is_table_item,ocr_only
1,,True,0.8010570824524312,0.0851063829787234,0.18181818181818182,0.44680851063829785,0.4,a. 연구대상자동의서를 받기 이전에는 본 연구의 어떠한 절차도 시작되어서는 안 된다.,a. 연구대상자동의서를 받기 이전에는 연구의 어떠한 절차도 시작되어서는 된다.,text_input,False,False
1,,True,0.8026052631578947,0.0967741935483871,0.21428571428571427,0.3709677419354839,,b. Previous medication 은 동의서 취득 전 1 개월 이내에 사용한 약물만을 조사하여 기록한다.,b. Previous medication 동의서 취득 개월 이내에 사용한 약물만을 조사하여 기록한다.,text_input,False,False
1,,False,0.0,,,,,,c. 이상반응은 시험관련 절차(즉 연구대상자동의서 서명일) 이후부터 마지막 평가일 까지 조사한다,,False,True
2,,True,0.8775,0.0,0.0,1.0,,1. 19세 이상 성인,1. 19세 이상 성인,text_input,True,False
2,,True,0.8739999999999999,0.0,0.0,1.0,,2. Cerebrovascular disease 진단 여부,2. Cerebrovascular disease 진단 여부,text_input,True,False
2,가족력,True,0.9339999999999999,0.0,0.0,1.0,,3. Cerebrovascular disease 가족력 여부,3. Cerebrovascular disease 가족력 여부,text_input,True,False
2,,True,0.6208333333333333,0.8181818181818182,1.0,0.55,0.7,1. 정신질환의 병력,"1. 정신질환의 병력 Yes , No",text_input,True,False
2,,True,0.8634999999999999,0.0,0.0,1.0,,2. 두부 외상의 병력,2. 두부 외상의 병력,text_input,True,False
2,,True,0.8634999999999999,0.0,0.0,1.0,,3. 암의 병력,3. 암의 병력,text_input,True,False
2,,False,0.0,,,,,,5. Yes No,,False,True
2,,False,0.0,,,,,,"5. Yes , No",,False,True
3,인구학적특성,True,0.9339999999999999,0.0,0.0,1.0,1.0,1. 일반인구학적 특성,1. 일반인구학적 특성,text_input,False,False
3,,True,0.867,0.0,0.0,1.0,,1) 성별: 1남성 2여성,1) 성별: 1남성 2여성,text_input,False,False
3,,True,0.6420588235294118,0.4807692307692308,0.6666666666666666,0.1346153846153846,,2) 생년월일 : <BLANK> | / <BLANK> | / <BLANK> | yy/mm/dd,2) 생년월일: / <BLANK> yy/mm/dd,text_input,False,False
3,,True,0.6204696969696969,0.3333333333333333,0.3333333333333333,0.6666666666666666,,3) 체중: cm,3) 체중:,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,,4) 흡연 여부,4) 흡연 여부,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,1.0,5) 음주 여부,5) 음주 여부,text_input,False,False
3,,True,0.8634999999999999,0.0,0.0,1.0,1.0,6) 결혼 상태,6) 결혼 상태,text_input,False,False
4,,True,0.8739999999999999,0.0,0.0,1.0,,7) 월 평균 수입,7) 월 평균 수입,text_input,False,False
4,,True,0.8634999999999999,0.0,0.0,1.0,,8) 학력,8) 학력,text_input,False,False
5,질병력,True,0.9235,0.0,0.0,1.0,,2. 질병력,2. 질병력,text_input,True,False
12,가족력,False,0.0,,,,,3. 가족력,,text_input,True,False
17,우울증선별,False,0.0,,,,,4. 우울증 선별도구 (PHQ-9),,text_input,False,False
17,,False,0.0,,,,,지난 한 달 동안 가장 우울했던 2주동안을 생각해 보십시오. 그 때가 언제입니까?,,yes_no,False,False
17,,False,0.0,,,,,2-6일 7일 거의,,scale,False,False
