page,category,matched,similarity,cer,wer,accuracy,gpt_confidence,ref_question,ocr_question,question_type,is_table_item,ocr_only
1,,True,0.7633198198198199,,,,,연구대상자는 본 임상연구 참가에 앞서 서면 동의하였습니까?        □ 예          □ 아니오,연구대상자는 임상연구 참가에 앞서 서면 동의하였습니까? □ 예 아니오,yes_no,False,False
1,,False,0.0,,,,,서면 동의일   |___|___| / |___|___| / |___|___| yy/mm/dd,,date_input,False,False
1,,True,0.8010570824524312,,,,,a. 연구대상자동의서를 받기 이전에는 본 연구의 어떠한 절차도 시작되어서는 안 된다.,a. 연구대상자동의서를 받기 이전에는 연구의 어떠한 절차도 시작되어서는 된다.,text_input,False,False
1,,True,0.8026052631578947,,,,,b. Previous medication 은 동의서 취득 전 1 개월 이내에 사용한 약물만을 조사하여 기록한다.,b. Previous medication 동의서 취득 개월 이내에 사용한 약물만을 조사하여 기록한다.,text_input,False,False
1,,False,0.0,,,,,,c. 이상반응은 시험관련 절차(즉 연구대상자동의서 서명일) 이후부터 마지막 평가일 까지 조사한다,,False,True
2,,True,0.8775,,,,,1. 19세 이상 성인,1. 19세 이상 성인,text_input,True,False
2,,True,0.8739999999999999,,,,,2. Cerebrovascular disease 진단 여부,2. Cerebrovascular disease 진단 여부,text_input,True,False
2,가족력,True,0.9339999999999999,,,,,3. Cerebrovascular disease 가족력 여부,3. Cerebrovascular disease 가족력 여부,text_input,True,False
2,,True,0.6208333333333333,,,,,1. 정신질환의 병력,"1. 정신질환의 병력 Yes □, No",text_input,True,False
2,,True,0.8634999999999999,,,,,2. 두부 외상의 병력,2. 두부 외상의 병력,text_input,True,False
2,,True,0.8634999999999999,,,,,3. 암의 병력,3. 암의 병력,text_input,True,False
2,,True,0.7935,,,,,□ 예                         □ 아니오,□ 예 아니오,yes_no,False,False
2,,False,0.0,,,,,,5. Yes No,,False,True
2,,False,0.0,,,,,,"5. Yes □, No □",,False,True
3,인구학적특성,True,0.9339999999999999,,,,,1. 일반인구학적 특성,1. 일반인구학적 특성,text_input,False,False
3,,True,0.6728939393939393,,,,,1) 성별:  ①남성 ②여성,1) 성별: 1남성 2여성,single_choice,False,False
